DATE,USALORSGPNOSTSAM
2017-10-01,100.0155094
2017-11-01,100.1034949
2017-12-01,100.1894523
2018-01-01,100.2711543
2018-02-01,100.3469385
2018-03-01,100.4142279
2018-04-01,100.4684994
2018-05-01,100.5044394
2018-06-01,100.5180699
2018-07-01,100.5102271
2018-08-01,100.4847365
2018-09-01,100.4481826
2018-10-01,100.4110062
2018-11-01,100.3843189
2018-12-01,100.3768651
2019-01-01,100.391328
2019-02-01,100.4268574
2019-03-01,100.4800761
2019-04-01,100.5446328
2019-05-01,100.6135383
2019-06-01,100.6807524
2019-07-01,100.7425267
2019-08-01,100.7968968
2019-09-01,100.8436297
2019-10-01,100.8847679
2019-11-01,100.9215136
2019-12-01,100.9515862
2020-01-01,100.9669692
2020-02-01,100.9557263
2020-03-01,96.08366041
2020-04-01,93.0956603
2020-05-01,91.58003532
2020-06-01,93.39465649
2020-07-01,95.18736623
2020-08-01,96.95749456
2020-09-01,97.14427086
2020-10-01,97.33597359
2020-11-01,97.54530126
2020-12-01,97.92092986
2021-01-01,98.32059824
2021-02-01,98.70045899
2021-03-01,98.92578775
2021-04-01,99.1122504
2021-05-01,99.27228788
2021-06-01,99.45096702
2021-07-01,99.63889887
2021-08-01,99.8311765
2021-09-01,100.0172287
2021-10-01,100.1702559
2021-11-01,100.2593314
2021-12-01,100.2639697
2022-01-01,100.1931855
2022-02-01,100.0692108
2022-03-01,99.9164879
2022-04-01,99.75456326
2022-05-01,99.59642746
